ID;Collection;Order;Family;Subfamily;Genus;Species;Subspecies;Author;
ZMB_Megachilidae_D036.04;Hymenoptera - Megachilidae (Mörtel- und Blattschneiderbienen);Hymenoptera;Megachilidae;NULL;Osmia;xanthomelaena;NULL;K.;
ZMB_Megachilidae_D036.04;Hymenoptera - Megachilidae (Mörtel- und Blattschneiderbienen);Hymenoptera;Megachilidae;NULL;Osmia;fuciformis;NULL;Latr.;
ZMB_Megachilidae_D036.04;Hymenoptera - Megachilidae (Mörtel- und Blattschneiderbienen);Hymenoptera;Megachilidae;NULL;Osmia;indet.;NULL;NULL;
ZMB_Megachilidae_D036.04;Hymenoptera - Megachilidae (Mörtel- und Blattschneiderbienen);Hymenoptera;Megachilidae;NULL;Osmia;maritima;NULL;Fr.;
ZMB_Megachilidae_D036.04;Hymenoptera - Megachilidae (Mörtel- und Blattschneiderbienen);Hymenoptera;Megachilidae;NULL;Osmia;thoracica;NULL;Rad;
ZMB_Megachilidae_D036.04;Hymenoptera - Megachilidae (Mörtel- und Blattschneiderbienen);Hymenoptera;Megachilidae;NULL;Osmia;rickmersi;NULL;Alfk.;
ZMB_Megachilidae_D036.04;Hymenoptera - Megachilidae (Mörtel- und Blattschneiderbienen);Hymenoptera;Megachilidae;NULL;Osmia;alfkeni;NULL;Ducke;
ZMB_Megachilidae_D036.04;Hymenoptera - Megachilidae (Mörtel- und Blattschneiderbienen);Hymenoptera;Megachilidae;NULL;Osmia;uncinata;NULL;Gerst.;
ZMB_Megachilidae_D039.04;Hymenoptera - Megachilidae (Mörtel- und Blattschneiderbienen);Hymenoptera;Megachilidae;NULL;Osmia;bulgarica;NULL;Fr.;
ZMB_Megachilidae_D039.04;Hymenoptera - Megachilidae (Mörtel- und Blattschneiderbienen);Hymenoptera;Megachilidae;NULL;Osmia;canariensis;NULL;Fr.;
ZMB_Megachilidae_D039.04;Hymenoptera - Megachilidae (Mörtel- und Blattschneiderbienen);Hymenoptera;Megachilidae;NULL;Osmia;caucasica;NULL;Fr.;
ZMB_Megachilidae_D039.04;Hymenoptera - Megachilidae (Mörtel- und Blattschneiderbienen);Hymenoptera;Megachilidae;NULL;Osmia;cavigena;NULL;Pér.;
ZMB_Megachilidae_D039.04;Hymenoptera - Megachilidae (Mörtel- und Blattschneiderbienen);Hymenoptera;Megachilidae;NULL;Osmia;cinnabarina;NULL;Pér;
